id,word_sr_sing,word_sr_plur,word_ru,gender,type,category
521,Pretraga,Pretrage,Поиск,f,noun,Basics
522,Suština,Suštine,Суть,f,noun,Basics
523,Porez,Porezi,Налог,m,noun,Basics
524,Greška,Greške,Ошибка,f,noun,Basics
525,Prihod,Prihodi,Доход,m,noun,Basics
526,Reditelj,Reditelji,Режиссер,m,noun,Work & Study
527,Površina,Površine,Поверхность,f,noun,Basics
528,Osećaj,Osećaji,Ощущение,m,noun,Basics
529,Mapa,Mape,Карта,f,noun,Objects & Items
530,Klub,Klubovi,Клуб,m,noun,Places & City
531,Stanica,Stanice,Станция,f,noun,Places & City
532,Revolucija,Revolucije,Революция,f,noun,Basics
533,Koleno,Kolena,Колено,n,noun,Body & Health
534,Ministarstvo,Ministarstva,Министерство,n,noun,Work & Study
535,Staklo,Stakla,Стекло,n,noun,Objects & Items
536,Sprat,Spratovi,Этаж,m,noun,Places & City
537,Visina,Visine,Высота,f,noun,Basics
538,Baka,Bake,Бабушка,f,noun,Family & People
539,Slušalica,Slušalice,Трубка,f,noun,Objects & Items
540,Gas,Gasovi,Газ,m,noun,Basics
541,Majstor,Majstori,Мастер,m,noun,Work & Study
542,Ponašanje,Ponašanja,Поведение,n,noun,Basics
543,Glavni grad,Glavni gradovi,Столица,m,noun,Places & City
544,Mehanizam,Mehanizmi,Механизм,m,noun,Objects & Items
545,Emisija,Emisije,Передача,f,noun,Communication
546,Sposobnost,Sposobnosti,Способность,f,noun,Basics
547,Pristup,Pristupi,Подход,m,noun,Basics
548,Energija,Energije,Энергия,f,noun,Basics
549,Postojanje,Postojanja,Существование,n,noun,Basics
550,Izvršenje,Izvršenja,Исполнение,n,noun,Work & Study
551,Bioskop,Bioskopi,Кино,m,noun,Places & City
552,Žaljenje,Žaljenja,Сожаление,n,noun,Basics
553,Zamenik,Zamenici,Заместитель,m,noun,Work & Study
554,Resurs,Resursi,Ресурс,m,noun,Basics
555,Akcija,Akcije,Акция,f,noun,Basics
556,Rođenje,Rođenja,Рождение,n,noun,Time & Calendar
557,Administracija,Administracije,Администрация,f,noun,Work & Study
558,Cena,Cene,Стоимость,f,noun,Basics
559,Osmeh,Osmesi,Улыбка,m,noun,Communication
560,Glumac,Glumci,Артист,m,noun,Work & Study
561,Komšija,Komšije,Сосед,m,noun,Family & People
562,Fraza,Fraze,Фраза,f,noun,Communication
563,Figura,Figure,Фигура,f,noun,Basics
564,Subjekt,Subjekti,Субъект,m,noun,Basics
565,Reakcija,Reakcije,Реакция,f,noun,Basics
566,Spisak,Spiskovi,Список,m,noun,Basics
567,Fotografija,Fotografije,Фотография,f,noun,Objects & Items
568,Novinar,Novinari,Журналист,m,noun,Work & Study
569,Maj,Majevi,Май,m,noun,Time & Calendar
570,Prekršaj,Prekršaji,Нарушение,m,noun,Basics
571,Sednica,Sednice,Заседание,f,noun,Work & Study
572,Gužva,Gužve,Толпа,f,noun,Places & City
573,Biće,Bića,Существо,n,noun,Basics
574,Osobina,Osobine,Свойство,f,noun,Basics
575,Dug,Dugovi,Долг,m,noun,Basics
576,Generacija,Generacije,Поколение,f,noun,Family & People
577,Životinja,Životinje,Животное,f,noun,Basics
578,Šema,Šeme,Схема,f,noun,Basics
579,Napor,Napori,Усилие,m,noun,Basics
580,Razlika,Razlike,Отличие,f,noun,Basics
581,Ostrvo,Ostrva,Остров,n,noun,Places & City
582,Protivnik,Protivnici,Противник,m,noun,Family & People
583,Talas,Talasi,Волна,m,noun,Basics
584,Realizacija,Realizacije,Реализация,f,noun,Work & Study
585,Stranica,Stranice,Страница,f,noun,Objects & Items
586,Formiranje,Formiranja,Формирование,n,noun,Basics
587,Stanovnik,Stanovnici,Житель,m,noun,Family & People
588,Lepota,Lepote,Красота,f,noun,Basics
589,Ptica,Ptice,Птица,f,noun,Basics
590,Biljка,Biljke,Растение,f,noun,Basics
591,Senka,Senke,Тень,f,noun,Basics
592,Pojava,Pojave,Явление,f,noun,Basics
593,Hram,Hramovi,Храм,m,noun,Places & City
594,Miris,Mirisi,Запах,m,noun,Basics
595,Rakija,Rakije,Водка,f,noun,Food & Drinks
596,Prisustvo,Prisustva,Наличие,n,noun,Basics
597,Užas,Užasi,Ужас,m,noun,Basics
598,Odeća,Odeće,Одежда,f,noun,Objects & Items
599,Fotelja,Fotelje,Кресло,f,noun,Objects & Items
600,Bolesnik,Bolesnici,Больной,m,noun,Body & Health
601,Voz,Vozovi,Поезд,m,noun,Objects & Items
602,Univerzitet,Univerziteti,Университет,m,noun,Work & Study
603,Tradicija,Tradicije,Традиция,f,noun,Basics
604,Adresa,Adrese,Адрес,f,noun,Places & City
605,Decembar,Decembri,Декабрь,m,noun,Time & Calendar
606,Dlan,Dlanovi,Ладонь,m,noun,Body & Health
607,Podatak,Podaci,Сведение,m,noun,Communication
608,Cvet,Cvetovi,Цветок,m,noun,Basics
609,Lider,Lideri,Лидер,m,noun,Work & Study
610,Oktobar,Oktobri,Октябрь,m,noun,Time & Calendar
611,Čas,Časovi,Занятие,m,noun,Work & Study
612,Septembar,Septembri,Сентябрь,m,noun,Time & Calendar
613,Prostorija,Prostorije,Помещение,f,noun,Places & City
614,Januar,Januari,Январь,m,noun,Time & Calendar
615,Gledalac,Gledaoci,Зритель,m,noun,Work & Study
616,Redakcija,Redakcije,Редакция,f,noun,Work & Study
617,Stil,Stilovi,Стиль,m,noun,Basics
618,Proleće,Proleća,Весна,n,noun,Time & Calendar
619,Faktor,Faktori,Фактор,m,noun,Basics
620,Avgust,Avgusti,Август,m,noun,Time & Calendar
621,Vest,Vesti,Известие,f,noun,Communication
622,Zavisnost,Zavisnosti,Зависимость,f,noun,Basics
623,Obezbeđenje,Obezbeđenja,Охрана,n,noun,Basics
624,Oprema,Opreme,Оборудование,f,noun,Objects & Items
625,Koncert,Koncerti,Концерт,m,noun,Basics
626,Odeljenje,Odeljenja,Отделение,n,noun,Work & Study
627,Trošak,Troškovi,Расход,m,noun,Basics
628,Izložba,Izložbe,Выставка,f,noun,Basics
629,Policija,Policije,Милиция,f,noun,Work & Study
630,Prelaz,Prelazi,Переход,m,noun,Places & City
631,Epoha,Epohe,Эпоха,f,noun,Time & Calendar
632,Zapad,,Запад,m,noun,Places & City
633,Delo,Dela,Произведение,n,noun,Work & Study
634,Domovina,Domovine,Родина,f,noun,Places & City
635,Vlasništvo,Vlasništva,Собственность,n,noun,Basics
636,Tajna,Tajne,Тайна,f,noun,Basics
637,Trava,Trave,Трава,f,noun,Basics
638,Kamp,Kampovi,Лагерь,m,noun,Places & City
639,Imovina,Imovine,Имущество,f,noun,Basics
640,Krevet,Kreveti,Кровать,m,noun,Objects & Items
641,Aparat,Aparati,Аппарат,m,noun,Objects & Items
642,Sredina,Sredine,Середина,f,noun,Places & City
643,Mart,Martovi,Март,m,noun,Time & Calendar
644,Klijent,Klijenti,Клиент,m,noun,Work & Study
645,Dama,Dame,Дама,f,noun,Family & People
646,Front,Frontovi,Фронт,m,noun,Basics
647,Grana,Grane,Отрасль,f,noun,Work & Study
648,Razgovor,Razgovori,Беседа,m,noun,Communication
649,Zakonodavstvo,Zakonodavstva,Законодательство,n,noun,Work & Study
650,Prodaja,Prodaje,Продажа,f,noun,Work & Study
651,Povećanje,Povećanja,Повышение,n,noun,Basics
652,Muzej,Muzeji,Музей,m,noun,Places & City
653,Trag,Tragovi,След,m,noun,Basics
654,Pukovnik,Pukovnici,Полковник,m,noun,Work & Study
655,Sumnja,Sumnje,Сомнение,f,noun,Basics
656,Razumevanje,Razumevanja,Понимание,n,noun,Communication
657,April,Aprili,Апрель,m,noun,Time & Calendar
658,Knez,Kneževi,Князь,m,noun,Family & People
659,Riba,Ribe,Рыба,f,noun,Food & Drinks
660,Misao,Misli,Дума,f,noun,Communication
661,Kodeks,Kodeksi,Кодекс,m,noun,Work & Study
662,Dan,Dani,Сутки,m,noun,Time & Calendar
663,Čudo,Čuda,Чудо,n,noun,Basics
664,Vrat,Vratovi,Шея,m,noun,Body & Health
665,Sudija,Sudije,Судья,m,noun,Work & Study
666,Krov,Krovovi,Крыша,m,noun,Places & City
667,Raspoloženje,Raspoloženja,Настроение,n,noun,Basics
668,Tok,Tokovi,Поток,m,noun,Basics
669,Funkcija,Funkcije,Должность,f,noun,Work & Study
670,Zločin,Zločini,Преступление,m,noun,Basics
671,Mozak,Mozgovi,Мозг,m,noun,Body & Health
672,Čast,,Честь,f,noun,Basics
673,Položaj,Položaji,Пост,m,noun,Work & Study
674,Jevrejin,Jevreji,Еврей,m,noun,Family & People
675,Jun,Junovi,Июнь,m,noun,Time & Calendar
676,Stotina,Stotine,Сотня,f,noun,Basics
677,Kiša,Kiše,Дождь,f,noun,Places & City
678,Stepenice,Stepenice,Лестница,f,noun,Objects & Items
679,Vikendica,Vikendice,Дача,f,noun,Places & City
680,Instalacija,Instalacije,Установка,f,noun,Work & Study
681,Pojava,Pojave,Появление,f,noun,Basics
682,Prijem,Prijemi,Получение,m,noun,Basics
683,Uzorak,Uzorci,Образец,m,noun,Basics
684,Cev,Cevi,Труба,f,noun,Objects & Items
685,Glavno,,Главное,n,noun,Basics
686,Jesen,Jeseni,Осень,f,noun,Time & Calendar
687,Odelo,Odela,Костюм,n,noun,Objects & Items
688,Baba,Babe,Баба,f,noun,Family & People
689,Vrednost,Vrednosti,Ценность,f,noun,Basics
690,Obaveza,Obaveze,Обязанность,f,noun,Work & Study
691,Predstava,Predstave,Пьеса,f,noun,Basics
692,Tabela,Tabele,Таблица,f,noun,Basics
693,Vino,Vina,Вино,n,noun,Food & Drinks
694,Uspomena,Uspomene,Воспоминание,f,noun,Basics
695,Konj,Konji,Лошадь,m,noun,Basics
696,Kolega,Kolege,Коллега,m,noun,Work & Study
697,Organizam,Organizmi,Организм,m,noun,Body & Health
698,Učenik,Učenici,Ученик,m,noun,Work & Study
699,Ustanova,Ustanove,Учреждение,f,noun,Work & Study
700,Otkriće,Otkrića,Открытие,n,noun,Basics
701,Tom,Tomovi,Том,m,noun,Basics
702,Osobina,Osobine,Черта,f,noun,Basics
703,Karakteristika,Karakteristike,Характеристика,f,noun,Basics
704,Izvršavanje,Izvršavanja,Выполнение,n,noun,Work & Study
705,Odbrana,Odbrane,Оборона,f,noun,Basics
706,Nastup,Nastupi,Выступление,m,noun,Basics
707,Temperatura,Temperature,Температура,f,noun,Basics
708,Perspektiva,Perspektive,Перспектива,f,noun,Basics
709,Drugarica,Drugarice,Подруга,f,noun,Family & People
710,Naređenje,Naređenja,Приказ,n,noun,Work & Study
711,Žrtva,Žrtve,Жертва,f,noun,Basics
712,Kilometar,Kilometri,Километр,m,noun,Basics
713,Rasprava,Rasprave,Спор,f,noun,Communication
714,Ukus,Ukusi,Вкус,m,noun,Basics
715,Znak,Znakovi,Признак,m,noun,Basics
716,Industrija,Industrije,Промышленность,f,noun,Work & Study
717,Amerikanac,Amerikanci,Американец,m,noun,Family & People
718,Čelo,Čela,Лоб,n,noun,Body & Health
719,Zaključak,Zaključci,Заключение,m,noun,Communication
720,Istok,,Восток,m,noun,Places & City
721,Izuzetak,Izuzeci,Исключение,m,noun,Basics
722,Odluka,Odluke,Постановление,f,noun,Work & Study
723,Sloj,Slojevi,Слой,m,noun,Basics
724,Bok,Bokovi,Бок,m,noun,Body & Health
725,Jul,Julovi,Июль,m,noun,Time & Calendar
726,Prevod,Prevodi,Перевод,m,noun,Communication
727,Sekretar,Sekretari,Секретарь,m,noun,Work & Study
728,Komad,Komadi,Кусок,m,noun,Basics
729,Sluh,,Слух,m,noun,Body & Health
730,Korist,Koristi,Польза,f,noun,Basics
731,Poziv,Pozivi,Звонок,m,noun,Communication
732,Atmosfera,Atmosfere,Обстановка,f,noun,Basics
733,Službenik,Službenici,Чиновник,m,noun,Work & Study
734,Sporazum,Sporazumi,Соглашение,m,noun,Work & Study
735,Detalj,Detalji,Деталь,m,noun,Basics
736,Rus,Rusi,Русский,m,noun,Family & People
737,Tišina,Tišine,Тишина,f,noun,Basics
738,Plata,Plate,Зарплата,f,noun,Work & Study
739,Karta,Karte,Билет,f,noun,Places & City
740,Poklon,Pokloni,Подарок,m,noun,Objects & Items
741,Zatvor,Zatvori,Тюрьма,m,noun,Places & City
742,Kutija,Kutije,Ящик,f,noun,Objects & Items
743,Takmičenje,Takmičenja,Конкурс,n,noun,Basics
744,Knjižica,Knjižice,Книжка,f,noun,Objects & Items
745,Proučavanje,Proučavanja,Изучение,n,noun,Work & Study
746,Molba,Molbe,Просьба,f,noun,Communication
747,Car,Carevi,Царь,m,noun,Family & People
748,Publika,Publike,Публика,f,noun,Basics
749,Smeh,Smehovi,Смех,m,noun,Basics
750,Poruka,Poruke,Сообщение,f,noun,Communication
751,Pretnja,Pretnje,Угроза,f,noun,Basics
752,Nevolja,Nevolje,Беда,f,noun,Basics
753,Blok,Blokovi,Блок,m,noun,Basics
754,Dostignuće,Dostignuća,Достижение,n,noun,Basics
755,Svrha,Svrhe,Назначение,f,noun,Basics
756,Reklama,Reklame,Реклама,f,noun,Basics
757,Portret,Portreti,Портрет,m,noun,Objects & Items
758,Ulje,Ulja,Масло,n,noun,Food & Drinks
759,Čaša,Čaše,Стакан,f,noun,Objects & Items
760,Lekcija,Lekcije,Урок,f,noun,Work & Study
761,Sat,Satovi,Часы,m,noun,Objects & Items
762,Uzbuna,Uzbune,Крик,f,noun,Communication
763,Stvaralaštvo,Stvaralaštva,Творчество,n,noun,Basics
764,Televizor,Televizori,Телевизор,m,noun,Objects & Items
765,Alat,Alati,Инструмент,m,noun,Objects & Items
766,Koncept,Koncepti,Концепция,m,noun,Basics
767,Poručnik,Poručnici,Лейтенант,m,noun,Work & Study
768,Ekran,Ekrani,Экран,m,noun,Objects & Items
769,Dno,Dna,Дно,n,noun,Basics
770,Stvarnost,Stvarnosti,Реальность,f,noun,Basics
771,Kanal,Kanali,Канал,m,noun,Basics
772,Poznanik,Poznanici,Знакомый,m,noun,Family & People
773,Obraz,Obrazi,Щека,m,noun,Body & Health
774,Sukob,Sukobi,Конфликт,m,noun,Basics
775,Pregovori,Pregovori,Переговоры,m,noun,Communication
776,Snimak,Snimci,Запись,m,noun,Objects & Items
777,Vagon,Vagoni,Вагон,m,noun,Objects & Items
778,Teren,Tereni,Площадка,m,noun,Places & City
779,Posledica,Posledice,Последствие,f,noun,Basics
780,Saradnja,Saradnje,Сотрудничество,f,noun,Work & Study
781,Ogledalo,Ogledala,Зеркало,n,noun,Objects & Items
782,Ton,Tonovi,Тон,m,noun,Basics
783,Akademija,Akademije,Академия,f,noun,Work & Study
784,Soba,Sobe,Палата,f,noun,Places & City
785,Potreba,Potrebe,Потребность,f,noun,Basics
786,Novembar,Novembri,Ноябрь,m,noun,Time & Calendar
787,Povećanje,Povećanja,Увеличение,n,noun,Basics
788,Budala,Budale,Дурак,f,noun,Family & People
789,Putovanje,Putovanja,Поездка,n,noun,Basics
790,Ručak,Ručkovi,Обед,m,noun,Food & Drinks
791,Gubitak,Gubici,Потеря,m,noun,Basics
792,Februar,Februari,Февраль,m,noun,Time & Calendar
793,Događaj,Događaji,Мероприятие,m,noun,Basics
794,Park,Parkovi,Парк,m,noun,Places & City
795,Usvajanje,Usvajanja,Принятие,n,noun,Basics
796,Uređaj,Uređaji,Устройство,m,noun,Objects & Items
797,Materija,Materije,Вещество,f,noun,Basics
798,Kategorija,Kategorije,Категория,f,noun,Basics
799,Sezona,Sezone,Сезон,f,noun,Time & Calendar
800,Hotel,Hoteli,Гостиница,m,noun,Places & City
801,Izdanje,Izdanja,Издание,n,noun,Objects & Items
802,Udruženje,Udruženja,Объединение,n,noun,Work & Study
803,Mrak,Mrakovi,Темнота,m,noun,Basics
804,Čovečanstvo,,Человечество,n,noun,Basics
805,Točak,Točkovi,Колесо,m,noun,Objects & Items
806,Opasnost,Opasnosti,Опасность,f,noun,Basics
807,Dozvola,Dozvole,Разрешение,f,noun,Basics
808,Uticaj,Uticaji,Воздействие,m,noun,Basics
809,Kolektiv,Kolektivi,Коллектив,m,noun,Work & Study
810,Kamera,Kamere,Камера,f,noun,Objects & Items
811,Zaliha,Zalihe,Запас,f,noun,Basics
812,Istraga,Istrage,Следствие,f,noun,Basics
813,Dužina,Dužine,Длина,f,noun,Basics
814,Krilo,Krila,Крыло,n,noun,Objects & Items
815,Okrug,Okruzi,Округ,m,noun,Places & City
816,Pozadina,Pozadine,Фон,f,noun,Basics
817,Kandidat,Kandidati,Кандидат,m,noun,Work & Study
818,Rođak,Rođaci,Родственник,m,noun,Family & People
819,Pritisak,Pritisci,Давление,m,noun,Basics
820,Prisustvo,Prisustva,Присутствие,n,noun,Basics
821,Interakcija,Interakcije,Взаимодействие,f,noun,Basics
822,Tabla,Table,Доска,f,noun,Objects & Items
823,Partner,Partneri,Партнер,m,noun,Work & Study
824,Motor,Motori,Двигатель,m,noun,Objects & Items
825,Buka,Buke,Шум,f,noun,Basics
826,Dostojanstvo,Dostojanstva,Достоинство,n,noun,Basics
827,Greh,Grehovi,Грех,m,noun,Basics
828,Nož,Noževi,Нож,m,noun,Objects & Items
829,Let,Letovi,Полет,m,noun,Basics
830,Strast,Strasti,Страсть,f,noun,Basics
831,Ispitivanje,Ispitivanja,Испытание,n,noun,Basics
832,Istina,Istine,True,f,noun,Basics
833,Plaćanje,Plaćanja,Оплата,n,noun,Basics
834,Razlika,Razlike,Разница,f,noun,Basics
835,Vozač,Vozači,Водитель,m,noun,Work & Study
836,Paket,Paketi,Пакет,m,noun,Objects & Items
837,Smanjenje,Smanjenja,Снижение,n,noun,Basics
838,Formula,Formule,Формула,f,noun,Basics
839,Stomak,Stomaci,Живот,m,noun,Body & Health
840,Kapital,Kapitali,Капитал,m,noun,Basics
841,Most,Mostovi,Мост,m,noun,Places & City
842,Vest,Vesti,Новость,f,noun,Communication
843,Efekat,Efekti,Эффект,m,noun,Basics
844,Ulaz,Ulazi,Вход,m,noun,Places & City
845,Guverner,Guverneri,Губернатор,m,noun,Work & Study
846,Izveštaj,Izveštaji,Доклад,m,noun,Work & Study
847,Smena,Smene,Смена,f,noun,Basics
848,Ubistvo,Ubistva,Убийство,n,noun,Basics
849,Stručnjak,Stručnjaci,Эксперт,m,noun,Work & Study
850,Autobus,Autobusi,Автобус,m,noun,Objects & Items
851,Haljina,Haljine,Платье,f,noun,Objects & Items
852,Kadar,Kadrovi,Кадр,m,noun,Basics
853,Tetka,Tetke,Тетя,f,noun,Family & People
854,Druženje,Druženja,Общение,n,noun,Communication
855,Psihologija,Psihologije,Психология,f,noun,Work & Study
856,Lav,Lavovi,Лев,m,noun,Basics
857,Prag,Pragovi,Порог,m,noun,Places & City
858,Provera,Provere,Проверка,f,noun,Work & Study
859,Procedura,Procedure,Процедура,f,noun,Work & Study
860,Radnik,Radnici,Рабочий,m,noun,Work & Study
861,Popravka,Popravke,Ремонт,f,noun,Basics
862,Obraćanje,Obraćanja,Обращение,n,noun,Communication
863,Obuka,Obuke,Обучение,f,noun,Work & Study
864,Očekivanje,Očekivanja,Ожидание,n,noun,Basics
865,Spomenik,Spomenici,Памятник,m,noun,Places & City
866,Koren,Koreni,Корень,m,noun,Basics
867,Posmatranje,Posmatranja,Наблюдение,n,noun,Basics
868,Slovo,Slova,Буква,n,noun,Basics
869,Dokaz,Dokazi,Доказательство,m,noun,Basics
870,Priznanje,Priznanja,Признание,n,noun,Basics
871,Krevet,Kreveti,Постель,m,noun,Objects & Items
872,Štab,Štabovi,Штаб,m,noun,Work & Study
873,Vlasnik,Vlasnici,Владелец,m,noun,Family & People
874,Računar,Računari,Компьютер,m,noun,Objects & Items
875,Inženjer,Inženjeri,Инженер,m,noun,Work & Study
876,Starica,Starice,Старуха,f,noun,Family & People
877,Čamac,Čamci,Лодка,m,noun,Objects & Items
878,Raketa,Rakete,Ракета,f,noun,Objects & Items
879,Serija,Serije,Серия,f,noun,Basics
880,Šala,Šale,Шутка,f,noun,Communication
881,Vrh,Vrhovi,Вершина,m,noun,Places & City
882,Izdanje,Izdanja,Выпуск,n,noun,Basics
883,Pesnica,Pesnice,Кулак,f,noun,Body & Health
884,Led,Ledovi,Лед,m,noun,Basics
885,Trgovina,Trgovine,Торговля,f,noun,Work & Study
886,Nafta,,Нефть,f,noun,Basics
887,Omladina,,Молодежь,f,noun,Family & People
888,Cifra,Cifre,Цифра,f,noun,Basics
889,Korpus,Korpusi,Корпус,m,noun,Objects & Items
890,Mana,Mane,Недостаток,f,noun,Basics
891,Čizma,Čizme,Сапог,f,noun,Objects & Items
892,Suština,Suštine,Сущность,f,noun,Basics
893,Talenat,Talenti,Талант,m,noun,Basics
894,Efikasnost,Efikasnosti,Эффективность,f,noun,Basics
895,Traka,Trake,Полоса,f,noun,Basics
896,Glavno,,Основное,n,noun,Basics
897,Razmatranje,Razmatranja,Рассмотрение,n,noun,Basics
898,Okupljanje,Okupljanja,Сбор,n,noun,Basics
899,Država,Države,Штат,f,noun,Places & City
900,Istražitelj,Istražitelji,Следователь,m,noun,Work & Study
901,Smeštaj,Smeštaji,Жилье,m,noun,Places & City
902,Vreća,Vreće,Мешок,f,noun,Objects & Items
903,Opis,Opisi,Описание,m,noun,Communication
904,Žbun,Žbunovi,Куст,m,noun,Places & City
905,Odbijanje,Odbijanja,Отказ,n,noun,Basics
906,Dvorac,Dvorci,Замок,m,noun,Places & City
907,Urednik,Urednici,Редактор,m,noun,Work & Study
908,Palata,Palate,Дворец,f,noun,Places & City
909,Briga,Brige,Забота,f,noun,Basics
910,Pivo,Piva,Пиво,n,noun,Food & Drinks
911,Kauč,Kauči,Диван,m,noun,Objects & Items
912,Stočić,Stočići,Столик,m,noun,Objects & Items
913,Eksperiment,Eksperimenti,Эксперимент,m,noun,Work & Study
914,Štampa,Štampe,Печать,f,noun,Work & Study
915,Prsten,Prstenje,Кольцо,m,noun,Objects & Items
916,Pištolj,Pištolji,Пистолет,m,noun,Objects & Items
917,Vaspitanje,Vaspitanja,Воспитание,n,noun,Basics
918,Rukovodstvo,Rukovodstva,Начальство,n,noun,Work & Study
919,Zanimanje,Zanimanja,Профессия,n,noun,Work & Study
920,Kapija,Kapije,Ворота,f,noun,Places & City
921,Dobro,,Добро,n,noun,Basics
922,Prijateljstvo,Prijateljstva,Дружба,n,noun,Basics
923,Mir,Mirovi,Покой,m,noun,Basics
924,Rizik,Rizici,Риск,m,noun,Basics
925,Kraj,Krajevi,Окончание,m,noun,Time & Calendar
926,Dim,Dimovi,Дым,m,noun,Basics
927,Brak,Brakovi,Брак,m,noun,Basics
928,Veličina,Veličine,Величина,f,noun,Basics
929,Poruka,Poruke,Записка,f,noun,Communication
930,Inicijativa,Inicijative,Инициатива,f,noun,Basics
931,Savest,Savesti,Совесть,f,noun,Basics
932,Aktivnost,Aktivnosti,Активность,f,noun,Basics
933,Kost,Kosti,Кость,f,noun,Body & Health
934,Sport,Sportovi,Спорт,m,noun,Basics
935,Kredit,Krediti,Кредит,m,noun,Basics
936,Gospod,,Господь,m,noun,Basics
937,Major,Majori,Майор,m,noun,Work & Study
938,Konferencija,Konferencije,Конференция,f,noun,Work & Study
939,Plafon,Plafoni,Потолок,m,noun,Places & City
940,Biblioteka,Biblioteke,Библиотека,f,noun,Places & City
941,Pomoćnik,Pomoćnici,Помощник,m,noun,Work & Study
942,Konstrukcija,Konstrukcije,Конструкция,f,noun,Basics
943,Odmor,Odmori,Отдых,m,noun,Basics
944,Olovka,Olovke,Ручка,f,noun,Objects & Items
945,Metal,Metali,Металл,m,noun,Basics
946,Tužilac,Tužioci,Прокурор,m,noun,Work & Study
947,Prevoz,Prevozi,Транспорт,m,noun,Basics
948,Poezija,,Поэзия,f,noun,Work & Study
949,Spajanje,Spajanja,Соединение,n,noun,Basics
950,Boja,Boje,Краска,f,noun,Basics
951,Razdaljina,Razdaljine,Расстояние,f,noun,Basics
952,San,Snovi,Мечта,m,noun,Basics
953,Selo,Sela,Село,n,noun,Places & City
954,Hrana,,Еда,f,noun,Food & Drinks
955,Zlo,Zla,Зло,n,noun,Basics
956,Odeljenje,Odeljenja,Подразделение,n,noun,Work & Study
957,Radnja,Radnje,Сюжет,f,noun,Basics
958,Granica,Granice,Рубеж,f,noun,Places & City
959,Signal,Signali,Сигнал,m,noun,Basics
960,Atmosfera,Atmosfere,Атмосфера,f,noun,Basics
961,Krst,Krstovi,Крест,m,noun,Basics
962,Težina,Težine,Вес,f,noun,Basics
963,Eksplozija,Eksplozije,Взрыв,f,noun,Basics
964,Kontakt,Kontakti,Контакт,m,noun,Basics
965,Cigareta,Cigarete,Сигарета,f,noun,Objects & Items
966,Oduševljenje,Oduševljenja,Восторг,n,noun,Basics
967,Zlato,,Золото,n,noun,Basics
968,Tlo,Tla,Почва,n,noun,Basics
969,Nagrada,Nagrade,Премия,f,noun,Basics
970,Kralj,Kraljevi,Король,m,noun,Family & People
971,Ulaz,Ulazi,Подъезд,m,noun,Places & City
972,Šansa,Šanse,Шанс,f,noun,Basics
973,Automat,Automati,Автомат,m,noun,Objects & Items
974,Porudžbina,Porudžbine,Заказ,f,noun,Basics
975,Dečak,Dečaci,Мальчишка,m,noun,Family & People
976,Naočare,Naočare,Очки,f,noun,Objects & Items
977,Trenutak,Trenuci,Миг,m,noun,Time & Calendar
978,Stvar,Stvari,Штука,f,noun,Basics
979,Čitanje,Čitanja,Чтение,n,noun,Basics
980,Naselje,Naselja,Поселок,n,noun,Places & City
981,Svedok,Svedoci,Свидетель,m,noun,Family & People
982,Stopa,Stope,Ставка,f,noun,Basics
983,Iznenadjenje,Iznenadjenja,Удивление,n,noun,Basics
984,Rep,Repovi,Хвост,m,noun,Basics
985,Pesak,,Песок,m,noun,Places & City
986,Skretanje,Skretanja,Поворот,n,noun,Basics
987,Povratak,Povraci,Возвращение,m,noun,Basics
988,Trenutak,Trenuci,Мгновение,m,noun,Time & Calendar
989,Status,Statusi,Статус,m,noun,Basics
990,Jezero,Jezera,Озеро,n,noun,Places & City
991,Stroj,Strojevi,Строй,m,noun,Basics
992,Parametar,Parametri,Параметр,m,noun,Basics
993,Bajka,Bajke,Сказка,f,noun,Basics
994,Tendencija,Tendencije,Тенденция,f,noun,Basics
995,Krivica,Krivice,Вина,f,noun,Basics
996,Disanje,Disanja,Дыхание,n,noun,Body & Health
997,Verzija,Verzije,Версия,f,noun,Basics
998,Razmera,Razmere,Масштаб,f,noun,Basics
999,Manastir,Manastiri,Монастырь,m,noun,Places & City
1000,Domaćica,Domaćice,Хозяйка,f,noun,Family & People
1001,Ćerka,Ćerke,Дочка,f,noun,Family & People
1002,Ples,Plesovi,Танец,m,noun,Basics
1003,Eksploatacija,Eksploatacije,Эксплуатация,f,noun,Work & Study
1004,Komunista,Komunisti,Коммунист,m,noun,Family & People
1005,Penzija,Penzije,Пенсия,f,noun,Basics
1006,Prijatelj,Prijatelji,Приятель,m,noun,Family & People
1007,Objašnjenje,Objašnjenja,Объяснение,n,noun,Communication
1008,Komplet,Kompleti,Набор,m,noun,Objects & Items
1009,Proizvođač,Proizvođači,Производитель,m,noun,Work & Study
1010,Prašina,N/A,Пыль,f,noun,Basics
1011,Filozofija,Filozofije,Философия,f,noun,Work & Study
1012,Snaga,Snage,Мощность,f,noun,Basics
1013,Obaveza,Obaveze,Обязательство,f,noun,Basics
1014,Odlazak,Odlasci,Уход,m,noun,Basics
1015,Grlo,Grla,Горло,n,noun,Body & Health
1016,Kriza,Krize,Кризис,f,noun,Basics
1017,Uputstvo,Uputstva,Указание,n,noun,Basics
1018,Plata,Plate,Плата,f,noun,Basics
1019,Jabuka,Jabuke,Яблоко,f,noun,Food & Drinks
1020,Preparat,Preparati,Препарат,m,noun,Basics
1021,Stvarnost,Stvarnosti,Действительность,f,noun,Basics
1022,Moskovljanin,Moskovljani,Москвич,m,noun,Family & People
